Date,Open,High,Low,Close,Volume
2003-01-02,5.15406,5.15406,5.05559,5.11367,1168016.1102897
2003-01-03,5.21669,5.33747,5.21669,5.27485,8307238.5326573
2003-01-06,5.33747,5.3554,5.23453,5.27485,5238725.9994008
2003-01-07,5.27485,5.31508,5.21669,5.27485,3193824.6527526
2003-01-08,5.257,5.3554,5.23453,5.257,2984921.7697862
2003-01-09,5.257,5.29715,5.15406,5.257,5081986.177619
2003-01-10,5.27485,5.31508,5.21669,5.27485,3912482.5585894
2003-01-13,5.31508,5.51649,5.31508,5.49401,6850357.7843219
2003-01-14,5.47609,5.51649,5.37779,5.43586,4697225.0219829
2003-01-15,5.45379,5.49401,5.41801,5.43586,2333089.8443575
2003-01-16,5.37779,5.39562,5.29715,5.31508,3402556.1691165
2003-01-17,5.23453,5.27485,5.15406,5.23453,2173327.2089689
2003-01-20,5.23453,5.257,5.1943,5.21669,1736486.9268107
2003-01-21,5.23453,5.27485,5.11367,5.17645,2900488.1624139
2003-01-22,5.15406,5.1943,5.07352,5.09591,5510603.194377
2003-01-23,5.13623,5.21669,5.07352,5.17645,4518383.5715192
2003-01-24,5.13623,5.1943,5.05559,5.05559,3835020.191236
2003-01-27,4.97504,5.01545,4.89458,4.95265,4569580.2183267
2003-01-28,4.95265,5.13623,4.95265,5.09591,2406828.7768245
2003-01-29,5.01545,5.21669,4.95265,5.13623,4139714.6734649
2003-01-30,5.17645,5.1943,5.07352,5.09591,1391424.5349877
2003-01-31,5.01545,5.11367,5.01545,5.09591,1424583.3896861
2003-02-03,5.15406,5.1943,5.11367,5.17645,1596835.9691487
2003-02-04,5.13623,5.13623,5.0332,5.05559,1637489.4897469
2003-02-05,5.01545,5.11367,4.99297,5.05559,1187657.9870586
2003-02-06,4.99297,5.05559,4.87218,4.89458,5976810.1165544
2003-02-07,4.85435,4.97504,4.81403,4.93481,2253368.2356737
2003-02-10,4.89458,4.97504,4.85435,4.93481,2635702.2806543
2003-02-11,4.97504,5.05559,4.93481,4.93481,2312698.3844228
2003-02-12,4.9125,4.9125,4.87218,4.87218,1033991.1065292
2003-02-13,4.85435,4.97504,4.85435,4.93481,2961824.5827471
2003-02-14,4.95265,4.99297,4.85435,4.9125,2294196.620152
2003-02-17,5.0332,5.05559,4.95265,4.97504,2779877.5497734
2003-02-18,4.97504,4.99297,4.87218,4.9125,4131887.7661929
2003-02-19,4.87218,4.89458,4.7334,4.75586,4715303.615664
2003-02-20,4.77362,4.83196,4.75586,4.81403,1230400.5481441
2003-02-21,4.81403,4.83196,4.69325,4.69325,1437132.7874792
2003-02-24,4.69325,4.7334,4.65293,4.71564,1082351.4612019
2003-02-25,4.69325,4.71564,4.63509,4.65293,4478782.731479
2003-02-26,4.69325,4.7334,4.63509,4.67532,1902478.2136075
2003-02-27,4.69325,4.71564,4.65293,4.69325,852260.90476679
2003-02-28,4.69325,4.71564,4.61261,4.67532,4375048.8147837
2003-03-03,4.63509,4.67532,4.57238,4.59477,4366855.8591228
2003-03-04,4.61261,4.63509,4.4516,4.4516,6452337.2835396
2003-03-05,4.39345,4.47382,4.37115,4.41137,6942378.1525708
2003-03-06,4.41137,4.4516,4.37115,4.41137,3400966.0735671
2003-03-07,4.41137,4.55454,4.41137,4.53216,3605402.9330364
2003-03-10,4.53216,4.79611,4.53216,4.79611,5687645.8783943
2003-03-11,4.7334,4.75586,4.65293,4.7334,2724830.4003268
2003-03-12,4.7334,4.75586,4.63509,4.67532,3204062.3500512
2003-03-13,4.7334,4.81403,4.71564,4.7334,4937937.9762528
2003-03-14,4.79611,4.79611,4.71564,4.71564,3044760.1895467
2003-03-17,4.63509,4.65293,4.59477,4.61261,1209568.4312316
2003-03-18,4.71564,4.77362,4.67532,4.67532,4434336.9962016
2003-03-19,4.69325,4.75586,4.65293,4.67532,1766569.342979
2003-03-20,4.69325,4.7334,4.65293,4.69325,904218.79233207
2003-03-21,4.75586,4.77362,4.71564,4.75586,2824172.9021139
2003-03-24,4.75586,4.77362,4.71564,4.7334,889463.77813163
2003-03-25,4.71564,4.79611,4.69325,4.77362,2511395.045589
2003-03-26,4.81403,4.89458,4.79611,4.83196,3750270.6631205
2003-03-27,4.83196,4.83196,4.77362,4.77362,999919.46237689
2003-03-28,4.79611,4.79611,4.7334,4.77362,1145079.7980203
2003-03-31,4.65293,4.67532,4.57238,4.63509,3822783.2169086
2003-04-01,4.69325,4.69325,4.61261,4.63509,701327.72956254
2003-04-02,4.71564,4.71564,4.65293,4.67532,1285976.9522676
2003-04-03,4.71564,4.83196,4.67532,4.75586,6499822.1530527
2003-04-04,4.79611,4.81403,4.7334,4.75586,3827554.6693163
2003-04-07,4.87218,4.97504,4.83196,4.97504,8192343.6373765
2003-04-08,4.93481,4.99297,4.89458,4.9125,2322653.9679948
2003-04-09,4.9125,4.97504,4.85435,4.9125,3114670.7687994
2003-04-10,4.89458,4.9125,4.77362,4.81403,5264630.3345946
2003-04-11,4.83196,4.89458,4.79611,4.87218,1685496.6193818
2003-04-14,4.85435,4.87218,4.75586,4.77362,3103333.7605747
2003-04-15,4.83196,4.83196,4.7334,4.79611,1994594.1741108
2003-04-16,4.81403,4.85435,4.77362,4.77362,1996651.7390997
2003-04-17,4.77362,4.85435,4.75586,4.83196,2221524.3573534
2003-04-22,4.81403,4.89458,4.81403,4.85435,1675974.6982323
2003-04-23,4.9125,4.99297,4.9125,4.95265,2849975.8162573
2003-04-24,4.93481,4.99297,4.89458,4.9125,2653723.7521345
2003-04-25,4.87218,5.01545,4.87218,4.99297,1853409.077341
2003-04-28,4.97504,5.11367,4.95265,5.07352,3181411.6487859
2003-04-29,5.11367,5.21669,5.09591,5.21669,7649356.3169781
2003-04-30,5.17645,5.1943,5.05559,5.15406,2497529.5056585
2003-05-02,5.13623,5.23453,5.13623,5.21669,2125522.9214349
2003-05-05,5.257,5.29715,5.23453,5.27485,1869379.9783875
2003-05-06,5.23453,5.29715,5.17645,5.27485,2876560.9548242
