Date,Open,High,Low,Close,Volume
2003-01-02,42.7166,43.8781,42.5942,43.8781,42486.706960429
2003-01-03,44.5425,46.6811,44.2395,46.3189,100308.73672528
2003-01-06,46.3189,47.5393,45.7699,47.4742,96048.093402768
2003-01-07,47.5959,47.6609,46.8671,47.2935,103587.39443468
2003-01-08,46.1304,46.8027,45.7699,46.1304,35293.921367605
2003-01-09,46.008,47.2935,46.008,46.9895,47659.111836959
2003-01-10,47.2293,47.9007,46.9895,47.5959,50525.634904521
2003-01-13,47.7782,48.514,47.2935,48.4488,31515.636746023
2003-01-14,48.2108,48.514,47.5959,48.1448,240635.97741626
2003-01-15,47.8425,47.8425,47.3509,47.5959,35361.842998524
2003-01-16,47.3509,47.3509,46.3754,46.8671,28814.888506463
2003-01-17,46.6811,46.8027,45.9506,46.1956,29715.13791965
2003-01-20,45.8273,46.0739,44.731,45.28,5836.6554026276
2003-01-21,45.1567,45.1567,44.3618,44.731,35920.181828953
2003-01-22,44.3045,44.5425,42.8973,43.5107,69449.292006769
2003-01-23,43.5107,44.8535,43.5107,44.3045,22615.600667578
2003-01-24,44.3045,44.8535,43.6322,43.6322,32033.683083534
2003-01-27,43.2648,43.9371,42.5942,43.9371,28385.485653371
2003-01-28,43.5107,44.1829,43.5107,44.1169,15453.897855004
2003-01-29,44.3618,44.3618,43.084,43.3881,66113.073593196
2003-01-30,43.8781,43.8781,42.225,42.225,100261.53694786
2003-01-31,42.1034,42.774,42.1034,42.3484,8577.6961351043
2003-02-03,43.084,43.5107,42.774,43.2648,10031.679522386
2003-02-04,43.5679,43.5679,43.084,43.2648,13227.449817789
2003-02-05,43.323,43.5107,42.4126,42.5351,21211.119485881
2003-02-06,42.5351,42.5351,41.193,41.4302,69236.317401348
2003-02-07,41.193,41.4302,40.8821,41.0054,41573.794192325
2003-02-10,41.0054,41.6186,40.9472,41.6186,35503.442330776
2003-02-11,41.7412,42.4126,41.0697,41.0697,45415.395588493
2003-02-12,40.9472,41.4953,40.5806,40.5806,48382.074281309
2003-02-13,40.5806,41.0054,40.2749,40.5806,265906.27776007
2003-02-14,40.7014,41.3155,40.7014,41.193,25012.428389131
2003-02-17,42.225,42.225,41.193,41.6186,38746.412403598
2003-02-18,42.1034,42.1034,41.3155,41.4953,31980.727235699
2003-02-19,41.3155,42.1034,40.9472,41.4953,116783.76147223
2003-02-20,41.4953,41.9226,40.7604,41.9226,66849.850606545
2003-02-21,41.4953,42.5942,41.4953,42.4126,15057.880210329
2003-02-24,42.5942,42.5942,41.6768,42.1034,11469.5459125
2003-02-25,42.1034,42.1034,41.3729,41.6186,23306.329117593
2003-02-26,41.6186,41.7412,41.0054,41.0697,37443.238061236
2003-02-27,41.4302,41.7994,40.644,41.1278,10642.974200649
2003-02-28,41.2504,41.4302,41.0054,41.2504,3617.1146499124
2003-03-03,41.0054,41.0054,40.7014,40.8821,1826.97675029
2003-03-04,40.8821,41.4302,40.3991,41.4302,26944.165621006
2003-03-05,40.8256,41.7994,40.8256,41.7994,8411.9213071006
2003-03-06,41.5544,42.225,41.5544,41.98,5066.4931808608
2003-03-07,42.1034,42.4126,41.7994,42.4126,28058.540853696
2003-03-10,42.4126,43.3881,42.1676,43.0199,93156.243625371
2003-03-11,42.2902,42.7166,42.225,42.2902,19118.212282335
2003-03-12,42.1034,42.4126,40.8821,41.4302,37463.959914736
2003-03-13,41.3155,42.1034,41.3155,41.4953,45955.314993588
2003-03-14,41.98,41.98,40.9472,40.9472,24876.585127294
2003-03-17,40.8256,40.8821,39.057,39.1152,27923.848805944
2003-03-18,39.7276,40.2749,39.4166,39.851,31977.27359345
2003-03-19,39.4166,39.7276,38.1389,38.8685,62565.031788285
2003-03-20,38.6297,39.9726,38.443,39.9726,58643.996620366
2003-03-21,40.0308,40.2749,39.7276,40.2749,36539.535005799
2003-03-24,40.4572,40.4572,39.6634,39.7866,15965.036908015
2003-03-25,39.6634,39.7866,39.4166,39.6043,57690.791359345
2003-03-26,39.851,39.9726,39.4827,39.7866,57816.273694431
2003-03-27,39.6634,39.6634,39.2359,39.3593,21163.919708463
2003-03-28,39.3593,39.3593,38.6879,38.9919,19371.479380674
2003-03-31,38.6879,38.746,38.3204,38.3848,34009.166450578
2003-04-01,38.443,38.9338,38.3848,38.443,18318.118494401
2003-04-02,38.8112,39.4166,38.443,39.2359,25805.614892565
2003-04-03,39.9726,40.8821,39.6634,40.2749,73380.688101439
2003-04-04,40.2749,40.5806,39.7276,40.2749,92593.299938608
2003-04-07,40.8821,41.9226,40.644,41.4953,145884.15107136
2003-04-08,41.6768,41.6768,40.5806,40.9472,23275.246337342
2003-04-09,41.3155,41.6768,40.7604,41.4953,18063.700181979
2003-04-10,40.8256,41.3729,40.8256,40.8821,30872.108073426
2003-04-11,40.8256,40.8821,40.1541,40.2749,17178.416551876
2003-04-14,40.2749,40.644,39.1786,39.1786,22827.424058916
2003-04-15,39.5418,39.5418,38.0755,38.0755,15809.623006762
2003-04-16,38.1389,38.2622,37.4673,37.8948,122935.84953369
2003-04-17,38.1389,38.6297,37.8357,38.5063,67485.320780559
2003-04-22,38.443,38.443,38.0173,38.0755,4043.0638607551
2003-04-23,37.8357,38.3204,37.8357,37.8357,155387.42332949
2003-04-24,37.8357,37.8357,36.1844,36.6153,42513.184884346
2003-04-25,36.6153,36.6153,35.0274,36.002,73266.717907185
2003-04-28,35.3957,35.5755,34.7833,35.0274,67469.203783393
2003-04-29,34.7833,35.0856,33.9311,34.8467,167908.02770009
2003-04-30,34.4784,36.3703,33.9885,36.002,485557.92486487
2003-05-02,36.1844,36.6153,35.3957,36.002,33036.39055014
2003-05-05,36.4927,36.7967,35.8795,36.3703,39376.126507194
2003-05-06,36.5519,36.6153,35.8221,36.6153,174906.25811283
2003-05-07,36.5519,36.7386,35.7562,36.002,177166.09135846
2003-05-08,36.002,36.3052,35.6337,36.068,32427.398300042
2003-05-09,36.002,36.3052,36.002,36.068,58585.284702115
2003-05-12,36.002,36.2478,35.8795,35.9438,35862.621124785
2003-05-13,35.8221,35.8221,35.208,35.4548,28034.365357947
2003-05-14,35.5755,36.3703,35.4548,36.002,75626.70677807
2003-05-15,36.002,36.3052,35.5121,36.068,37062.186199644
2003-05-16,35.8221,36.6153,35.8221,36.6153,29067.004390719
2003-05-19,36.2478,36.9193,36.1245,36.6153,11006.757850991
2003-05-20,36.6153,37.0991,36.6153,36.7386,30337.944738746
2003-05-21,36.6726,36.9193,36.4927,36.5519,39351.951011443
2003-05-22,36.4285,36.7386,36.4285,36.4927,186572.66163358
2003-05-23,36.3052,36.5519,35.6988,36.002,209885.89803567
2003-05-26,36.3703,36.3703,35.6988,36.002,131232.64943245
2003-05-27,35.9438,36.002,35.5755,35.8221,35732.533933365
2003-05-28,35.7562,36.2478,35.3957,35.3957,18749.82377566
2003-05-29,35.6988,36.7386,35.5121,36.068,78216.938465627
2003-05-30,36.3703,38.1389,36.3703,38.1389,170230.02650623
2003-06-02,39.057,39.7276,39.057,39.1786,67049.010642967
2003-06-03,38.9919,40.4572,38.8112,40.2749,124681.09008406
2003-06-04,40.2749,41.4302,40.2749,41.3729,94747.221488572
2003-06-05,40.8821,41.6186,40.8821,41.5544,181898.73245514
2003-06-06,41.193,42.1034,41.0697,41.9226,108775.91630838
2003-06-09,41.6186,41.98,40.9472,41.4302,87370.24164241
2003-06-10,40.8256,41.4953,40.7014,41.4953,19091.734358417
2003-06-11,40.8821,41.4953,40.7604,40.8256,109752.14585107
2003-06-12,40.8821,41.6768,40.8256,41.4302,135486.38547046
2003-06-13,41.2504,41.98,39.6634,40.5806,104340.2884452
2003-06-16,39.6634,40.644,39.6634,40.644,40883.06574231
2003-06-17,40.644,40.8821,40.2749,40.644,72390.64398975
2003-06-18,40.4572,41.8627,40.4572,41.7994,151510.13429673
2003-06-20,41.2504,41.7994,41.193,41.6186,106602.424119
2003-06-23,41.4953,41.6186,41.193,41.3155,9072.7181909484
2003-06-24,40.7014,41.3155,40.2749,41.3155,16488.839315943
2003-06-25,41.4953,41.7412,41.2504,41.7412,58861.576082121
2003-06-26,41.4953,41.7994,41.193,41.4953,59904.576041644
2003-06-27,41.3729,41.4302,40.9472,41.193,5643.2514366234
2003-06-30,40.8821,41.193,40.7014,40.9472,7061.5471873211
2003-07-01,40.5806,41.1278,40.3991,41.1278,13974.587757889
2003-07-02,41.1278,41.4953,40.8821,41.3155,76960.963900684
2003-07-03,41.0697,41.3729,40.7604,41.0054,118561.23601693
2003-07-04,40.8821,42.4126,40.8256,42.4126,101212.43978071
2003-07-07,42.6524,45.1567,42.6524,44.5425,119416.58808086
2003-07-08,44.5425,45.3365,43.9371,43.9371,182439.80307432
2003-07-09,43.3881,45.1567,43.3881,44.976,102985.30946909
2003-07-10,43.9936,46.2529,43.9936,45.7048,100157.92768036
2003-07-11,44.731,46.1304,44.731,45.4025,88692.986624189
2003-07-14,45.459,47.2935,45.4025,47.1711,86060.160015549
2003-07-15,47.1711,47.1711,45.9506,46.0739,107339.20113235
2003-07-16,45.5241,46.0739,45.459,45.7699,149667.04054928
2003-07-17,45.2149,45.4025,44.8535,45.0333,119933.48320428
2003-07-18,44.6659,45.7699,44.6659,45.5823,56106.720780644
2003-07-21,45.459,45.5823,43.6905,44.8535,66044.000748194
2003-07-22,44.5425,44.5425,44.1169,44.2395,31271.57936035
2003-07-23,44.3045,44.3045,42.7166,42.7166,26867.03427742
2003-07-24,42.4717,42.7166,41.8627,42.225,99912.719080601
2003-07-25,41.8627,42.225,41.6768,42.225,51088.578591283
2003-07-28,42.7166,43.6322,42.7166,42.9616,60171.657708982
2003-07-29,43.5679,44.9117,43.1431,44.5425,116487.89945279
2003-07-30,44.5425,45.0333,44.5425,44.7875,161513.03346703
2003-07-31,44.7875,44.8535,43.5107,44.5425,95944.484135265
2003-08-01,44.427,44.8535,44.0587,44.6077,37979.703824081
2003-08-04,43.6905,44.427,43.3881,43.6322,27115.696519426
2003-08-05,43.8781,43.9371,43.323,43.9371,23879.633731105
2003-08-06,43.8781,44.5425,43.4454,44.2395,72326.176001082
2003-08-07,44.0587,45.459,43.6905,44.7875,25668.620416645
2003-08-08,44.8535,45.4025,44.7875,44.8535,39000.830716019
2003-08-11,44.5425,45.7048,44.5425,45.3365,13626.921104715
2003-08-12,45.4025,45.6466,45.2149,45.459,18042.978328477
2003-08-13,45.7048,46.1304,45.5241,45.5241,50890.569768946
2003-08-14,45.5241,46.3754,45.5241,46.0739,62185.131140777
2003-08-18,46.008,46.0739,45.1567,45.5241,38450.550384174
2003-08-19,45.1567,45.7699,44.6659,45.7048,20375.338061362
2003-08-20,45.2149,45.28,44.8535,45.1567,62848.230452791
2003-08-21,45.1567,46.1956,44.8535,45.8863,70382.926628372
2003-08-22,45.8863,48.2108,45.7699,48.0875,122628.47537343
2003-08-25,47.3509,48.8164,47.2293,48.269,51725.199979381
2003-08-26,48.3897,50.8942,48.2108,49.4295,90972.390509239
2003-08-27,50.4051,50.9532,48.269,49.4295,139222.07517096
