Date,Open,High,Low,Close,Volume
2003-01-02,54.942749,55.820610,54.675571,55.582062,6104076
2003-01-03,55.820610,56.526718,55.734734,56.288170,5419837
2003-01-06,56.059158,57.223282,56.059158,57.137405,4852659
2003-01-07,56.870228,57.299618,56.335876,56.402672,6692947
2003-01-08,56.402672,56.822517,56.106869,56.278625,4983030
2003-01-09,56.297710,57.251907,55.811069,57.041985,7411037
2003-01-10,57.041985,57.232822,56.402672,57.070610,5104179
2003-01-13,57.251907,57.480915,56.660305,57.061069,4456934
2003-01-14,56.822517,57.156490,56.431297,57.070610,3959134
2003-01-15,57.070610,57.194656,56.364506,56.574429,4014050
2003-01-16,56.574429,57.003819,55.820610,56.154579,5537527
2003-01-17,55.582062,56.221375,55.066795,55.667938,6209714
2003-01-21,55.114506,55.190842,53.959923,54.122135,8075888
2003-01-22,54.131680,54.198475,53.053436,53.072517,7951281
2003-01-23,53.082062,53.520992,52.337788,52.814884,6183410
2003-01-24,52.814884,52.910305,50.954197,51.097328,7394478
2003-01-27,50.858780,51.135494,49.141220,49.389313,8840404
2003-01-28,50.553436,52.566795,50.362595,51.908398,10412614
2003-01-29,51.669846,53.291985,51.526718,52.853054,6969305
2003-01-30,53.244274,53.368320,51.564884,52.013359,6267040
2003-01-31,51.879772,53.158398,51.688931,52.853054,5904118
2003-02-03,52.862595,53.730915,52.729008,53.301525,5531030
2003-02-04,52.576336,52.671757,52.003819,52.337788,5982403
2003-02-05,52.910305,53.349236,51.917938,52.156490,5490577
2003-02-06,51.669846,52.585876,51.383587,51.917938,5942160
2003-02-07,51.917938,52.003819,50.381680,51.106869,5400134
2003-02-10,51.125954,52.080154,50.667938,51.908398,5964797
2003-02-11,52.337788,52.671757,51.393131,51.536259,4685922
2003-02-12,51.622135,51.641220,50.706108,50.906490,4664753
2003-02-13,50.496181,50.620228,49.236641,50.190842,4709607
2003-02-14,50.190842,51.517178,50.190842,51.440842,6044026
2003-02-18,52.318703,52.910305,51.956108,52.385494,4822058
2003-02-19,52.395039,52.547710,51.354961,51.870228,4069279
2003-02-20,51.812977,52.070610,50.725189,50.935116,4237588
2003-02-21,50.715649,51.908398,50.477100,51.345421,5254882
2003-02-24,50.935116,51.049618,49.618320,50.057251,5878232
2003-02-25,49.618320,50.610687,49.236641,50.333969,5411558
2003-02-26,50.333969,50.887405,49.456108,49.713741,4807595
2003-02-27,49.713741,50.944656,49.713741,50.381680,5010383
2003-02-28,50.381680,50.601147,49.990459,50.333969,5881166
2003-03-03,50.906490,51.259541,49.732822,50.085876,4775107
2003-03-04,50.047710,50.047710,49.246181,49.246181,5233188
2003-03-05,48.616413,49.732822,48.559158,49.494274,7118854
2003-03-06,49.255726,50.085876,48.921757,49.570610,5663497
2003-03-07,48.759541,50.286259,48.730915,49.961830,5362616
2003-03-10,49.188931,49.541985,48.645039,48.845421,4710760
2003-03-11,48.454197,48.721375,47.614506,48.444656,6114870
2003-03-12,48.444656,48.912212,48.062977,48.912212,6091395
2003-03-13,48.912212,49.274811,48.330154,48.769085,7805504
2003-03-14,48.769085,49.522900,48.282444,48.473282,6184458
2003-03-17,48.473282,49.952290,48.187023,49.809158,6519189
2003-03-18,49.828243,50.887405,49.809158,50.591602,7021600
2003-03-19,50.858780,52.223282,50.858780,51.965649,6097893
2003-03-20,51.965649,52.557251,51.612595,52.471375,6572742
2003-03-21,52.891220,54.246181,52.843510,53.912212,7512693
2003-03-24,53.664124,53.664124,51.774811,52.146946,5978945
2003-03-25,52.156490,53.291985,51.965649,52.958015,6623046
2003-03-26,52.480915,52.833969,51.889313,51.975189,6585632
2003-03-27,51.765266,53.005726,51.650764,52.547710,5134257
2003-03-28,52.547710,53.187023,51.994274,52.814884,4441634
2003-03-31,52.051525,53.024811,51.688931,52.270992,5769345
2003-04-01,52.576336,53.244274,52.270992,53.053436,5316399
2003-04-02,53.053436,54.646946,53.053436,54.169846,5443522
2003-04-03,54.169846,54.169846,53.387405,53.540077,7892802
2003-04-04,53.578243,54.866413,53.549618,54.580154,5647043
2003-04-07,55.248093,55.772900,54.150764,54.227100,5805920
2003-04-08,54.217556,54.770992,53.912212,54.112595,4888082
2003-04-09,54.112595,54.484734,52.958015,53.101147,5401078
2003-04-10,53.101147,53.206108,52.146946,53.158398,5525790
2003-04-11,53.511452,54.045803,52.776718,52.881680,4598729
2003-04-14,52.881680,54.103054,52.862595,54.074429,4117802
2003-04-15,54.055344,54.437023,53.769085,54.322517,4734130
2003-04-16,54.484734,54.570610,53.435116,53.540077,5493616
2003-04-17,53.540077,53.816795,52.633587,53.330154,6480413
2003-04-21,53.721375,55.295803,53.721375,54.351147,7212860
2003-04-22,54.818703,56.593510,54.742367,56.192749,10347009
2003-04-23,56.335876,56.822517,55.171757,55.477100,11430746
2003-04-24,54.933205,56.125954,54.818703,55.629772,6733714
2003-04-25,55.486641,55.553436,53.645039,54.150764,7165071
2003-04-28,54.055344,54.914124,53.482822,54.580154,5643690
2003-04-29,54.484734,55.114506,54.103054,54.732822,4678062
2003-04-30,54.961830,56.087788,54.732822,55.515266,9990374
2003-05-01,55.515266,56.106869,54.608780,55.820610,4815246
2003-05-02,55.152672,56.965649,55.152672,56.574429,5753730
2003-05-05,56.393131,56.727100,55.801525,56.259541,4112457
2003-05-06,56.259541,56.393131,55.734734,56.202290,5053666
2003-05-07,56.202290,56.440842,55.572517,55.868320,5473704
2003-05-08,55.877865,55.916031,55.267178,55.534351,4242409
2003-05-09,55.801525,56.125954,55.400764,55.562977,4667687
2003-05-12,55.562977,56.393131,55.114506,56.297710,5045491
2003-05-13,56.173664,56.755726,56.068703,56.612595,4648928
2003-05-14,56.870228,57.137405,56.393131,56.889313,5186552
2003-05-15,56.879772,57.032444,56.412212,56.803436,4736331
2003-05-16,56.517178,56.917938,56.106869,56.727100,4419311
2003-05-19,56.106869,56.488548,53.053436,54.055344,14648420
2003-05-20,53.530533,53.702290,51.622135,52.471375,14915660
2003-05-21,52.385494,53.148853,51.917938,52.843510,11662249
2003-05-22,52.624046,53.492367,52.385494,53.005726,6705209
2003-05-23,53.196564,53.587788,52.624046,52.910305,4223335
2003-05-27,52.652672,53.931297,52.242367,53.759541,7178800
2003-05-28,53.578243,53.759541,52.795803,53.187023,8050526
2003-05-29,53.187023,53.797710,52.146946,52.251907,7721874
2003-05-30,52.385494,53.244274,52.385494,53.034351,6675341
2003-06-02,53.244274,53.750000,53.082062,53.177483,6622941
2003-06-03,53.416031,54.045803,53.196564,53.721375,6275634
2003-06-04,53.606869,54.503819,53.387405,54.246181,5130379
2003-06-05,54.179390,56.059158,53.912212,56.059158,8090665
2003-06-06,56.517178,57.500000,55.820610,56.354961,8809174
2003-06-09,56.250000,56.488548,55.295803,55.629772,4017089
2003-06-10,55.610687,55.916031,54.961830,55.772900,4363662
2003-06-11,55.877865,57.022900,55.868320,56.612595,5568443
2003-06-12,56.765266,57.013359,56.192749,56.583969,5093280
2003-06-13,56.593510,56.917938,55.868320,56.517178,5798374
2003-06-16,56.517178,58.511452,56.498093,58.015266,11450029
2003-06-17,58.406490,60.496181,58.301525,59.513359,12434730
2003-06-18,59.332062,60.553436,58.998093,60.343510,13435779
2003-06-19,60.343510,60.591602,59.169846,59.446564,6886198
2003-06-20,59.446564,60.353054,59.351147,60.009541,7822167
2003-06-23,59.589695,59.780533,58.711830,59.265266,5496760
2003-06-24,58.444656,59.694656,58.425571,59.303436,6449706
2003-06-25,59.064884,59.360687,58.291985,58.377865,5014785
2003-06-26,57.853054,59.351147,57.824429,59.160305,5394056
2003-06-27,58.091602,59.236641,57.843510,58.225189,5028618
2003-06-30,58.301525,58.673664,57.538170,57.776718,5798060
2003-07-01,57.729008,58.788170,56.975189,58.654579,6840506
2003-07-02,59.188931,59.637405,58.893131,58.893131,8408314
2003-07-03,58.396946,58.826336,57.776718,58.339695,4933355
2003-07-07,58.206108,59.513359,58.206108,59.055344,6010490
2003-07-08,58.921757,59.236641,58.587788,58.835876,4325410
2003-07-09,58.835876,59.370228,58.129772,58.568703,5780768
2003-07-10,58.635494,58.807251,57.824429,58.244274,4679634
2003-07-11,58.110687,58.664124,57.786259,58.625954,4104911
2003-07-14,58.730915,59.770992,58.606869,58.921757,5649454
2003-07-15,59.541985,59.818703,58.492367,59.036259,5805186
2003-07-16,59.160305,59.446564,58.568703,58.902672,4836625
2003-07-17,58.902672,59.446564,57.891220,58.215649,4388081
2003-07-18,58.587788,58.969467,57.833969,58.940842,4883890
2003-07-21,57.538170,57.700382,56.564884,57.080154,8367546
2003-07-22,56.774811,56.870228,54.627865,55.162212,12449821
2003-07-23,54.866413,55.486641,54.484734,55.238548,6371945
2003-07-24,55.534351,55.562977,54.284351,54.379772,6182886
2003-07-25,54.055344,54.885494,53.664124,54.885494,5776157
2003-07-28,54.847328,54.866413,53.673664,54.064884,6385254
2003-07-29,54.370228,54.494274,52.576336,52.853054,13749865
2003-07-30,53.015266,53.625954,52.643131,52.919846,6722396
2003-07-31,53.291985,54.007633,52.509541,52.748093,7254885
2003-08-01,52.490459,52.566795,51.049618,51.736641,7591607
2003-08-04,51.622135,51.860687,50.811069,51.650764,6805188
2003-08-05,51.717556,52.280533,50.954197,51.059158,7614034
2003-08-06,51.059158,52.223282,50.763359,51.736641,5992778
2003-08-07,51.908398,53.482822,51.774811,53.339695,8407266
2003-08-08,53.339695,53.444656,52.805344,53.043892,4786426
2003-08-11,53.053436,53.120228,51.965649,52.519085,6192108
2003-08-12,52.500000,52.576336,51.603054,52.032444,6142328
2003-08-13,51.574429,51.765266,50.667938,50.973282,7904750
2003-08-14,50.677483,50.954197,50.124046,50.896946,6903490
2003-08-15,50.906490,51.135494,50.238548,51.030533,3705309
2003-08-18,51.097328,51.354961,50.954197,51.040077,5235179
2003-08-19,51.049618,51.479008,50.381680,51.259541,6107639
2003-08-20,48.578243,50.009541,48.568703,49.732822,10712551
2003-08-21,49.904579,49.904579,48.759541,48.969467,8971194
2003-08-22,49.045803,49.103054,47.853054,47.967556,9283394
2003-08-25,47.853054,48.597328,47.853054,47.986641,5970875
2003-08-26,48.005726,48.177483,47.595421,47.996181,6972763
2003-08-27,47.757633,48.110687,47.757633,47.996181,5460918
2003-08-28,48.005726,48.062977,47.213741,47.480915,7064778
2003-08-29,47.662212,48.062977,47.519085,48.015266,5379908
2003-09-02,47.853054,48.893131,47.853054,48.730915,7970669
2003-09-03,48.616413,48.654579,47.900764,48.358780,7321223
2003-09-04,48.368320,48.616413,47.977100,48.282444,5905270
2003-09-05,48.291985,49.150764,48.101147,48.664124,6275319
2003-09-08,49.475189,50.458015,49.408398,50.190842,9027786
2003-09-09,49.942749,50.973282,49.942749,50.372135,7906636
2003-09-10,50.562977,51.812977,50.524811,51.240459,8777000
2003-09-11,51.431297,51.517178,50.858780,50.858780,5138763
2003-09-12,51.030533,51.125954,49.646946,51.049618,4506714
2003-09-15,51.040077,51.078243,50.658398,50.658398,4000845
2003-09-16,50.906490,51.393131,50.572517,51.326336,4818599
2003-09-17,51.307251,51.335876,50.582062,50.772900,4564669
2003-09-18,50.629772,51.221375,50.505726,50.648853,5662554
2003-09-19,50.648853,50.706108,49.799618,49.895039,7129649
2003-09-22,49.895039,49.895039,47.814884,49.036259,6681629
2003-09-23,49.093510,49.503819,48.854961,48.864506,5556286
2003-09-24,48.711830,49.045803,48.043892,48.330154,8048116
2003-09-25,48.330154,48.454197,47.919846,48.062977,5711286
2003-09-26,48.043892,48.864506,47.833969,48.501907,5896153
2003-09-29,48.406490,48.702290,47.919846,48.664124,5241467
2003-09-30,48.520992,48.645039,47.843510,48.301525,7537635
2003-10-01,48.435116,49.141220,48.349236,48.816795,8771236
2003-10-02,49.026718,49.026718,48.454197,48.664124,6336522
2003-10-03,48.664124,49.570610,47.805344,47.814884,10521082
2003-10-06,47.948475,48.139313,47.576336,47.929390,5561107
2003-10-07,47.929390,47.948475,47.375954,47.805344,6821642
2003-10-08,48.148853,48.148853,47.519085,47.690842,5395104
2003-10-09,48.091602,48.091602,46.574429,46.746181,11133638
2003-10-10,46.898853,47.404579,46.335876,47.213741,7911771
2003-10-13,47.223282,47.662212,47.223282,47.433205,4448236
2003-10-14,47.280533,47.519085,46.994274,47.423664,5297850
2003-10-15,47.375954,47.652672,46.574429,46.650764,7468153
2003-10-16,46.564884,46.984734,46.469467,46.841602,6684668
2003-10-17,46.803436,46.851147,46.335876,46.402672,5455154
2003-10-20,46.326336,46.660305,45.877865,46.145039,7680897
2003-10-21,46.040077,46.841602,45.992367,46.669846,8191273
2003-10-22,44.751907,44.751907,42.967556,43.625954,27642362
2003-10-23,43.435116,43.854961,42.795803,43.416031,17997304
2003-10-24,43.416031,43.416031,42.461830,42.738548,10602930
2003-10-27,42.938931,43.320610,42.776718,42.824429,7987122
2003-10-28,42.872135,43.320610,42.500000,42.862595,10599053
2003-10-29,42.862595,43.110687,42.557251,42.862595,9194942
2003-10-30,42.442749,43.320610,41.870228,41.927483,11300270
2003-10-31,42.032444,42.404579,42.003819,42.223282,10537326
2003-11-03,42.223282,42.767178,42.223282,42.643131,8811794
2003-11-04,42.557251,42.652672,41.698475,41.784351,11601465
2003-11-05,41.679390,42.213741,41.269085,41.412212,10216114
2003-11-06,41.135494,41.841602,40.954197,41.603054,10562268
2003-11-07,40.658398,42.213741,40.658398,41.917938,11246507
2003-11-10,41.937023,42.032444,41.230915,41.412212,8389450
2003-11-11,41.421757,41.937023,41.278625,41.860687,6439646
2003-11-12,40.763359,42.223282,40.763359,42.223282,21030530
2003-11-13,42.213741,44.141220,42.137405,43.702290,20594667
2003-11-14,44.160305,44.990459,44.055344,44.446564,14346177
2003-11-17,44.179390,44.503819,43.750000,43.969467,9048956
2003-11-18,43.988548,44.599236,43.931297,44.036259,7864821
2003-11-19,44.083969,44.274811,43.425571,44.036259,6307598
2003-11-20,43.893131,44.064884,42.938931,43.091602,6964379
2003-11-21,41.564884,41.793892,39.837788,40.276718,35650550
2003-11-24,40.381680,40.572517,40.000000,40.162212,19563750
2003-11-25,40.085876,40.085876,39.064884,39.522900,21841263
2003-11-26,39.599236,39.599236,39.007633,39.141220,15124422
2003-11-28,39.103054,39.122135,38.711830,38.740459,9343234
2003-12-01,39.360687,40.458015,39.284351,40.152672,18810971
2003-12-02,40.601147,40.772900,40.333969,40.553436,18915142
2003-12-03,41.431297,41.908398,41.412212,41.631680,19695169
2003-12-04,41.965649,42.089695,41.068703,41.307251,10877087
2003-12-05,41.526718,41.555344,40.935116,41.097328,7028726
2003-12-08,41.040077,42.185116,41.011452,41.583969,8316614
2003-12-09,41.870228,41.965649,41.316795,41.564884,9179432
2003-12-10,41.564884,41.564884,41.078243,41.173664,6859684
2003-12-11,41.116413,41.708015,41.097328,41.603054,8709299
2003-12-12,41.765266,41.870228,41.526718,41.650764,5764524
2003-12-15,42.204197,42.843510,41.555344,41.698475,7878759
2003-12-16,41.917938,42.309158,41.803436,42.108780,8217263
2003-12-17,42.156490,42.223282,41.736641,42.080154,7353082
2003-12-18,42.223282,42.643131,42.175571,42.557251,9753107
2003-12-19,42.604961,42.671757,42.099236,42.328243,9504207
2003-12-22,42.328243,42.375954,41.984734,42.185116,7824158
